topics,news
Coffee cup recycling scheme launched in City of London,The new scheme aims to recycle millions of disposable coffee cups by the end of 2017.
Costa Coffee's High Street sales fall,The coffee chain has been hit by the falling numbers of people visiting UK High Streets.
You and Yours: Christmas Shopping; Coffee Shop decline; Relaxed Tailoring,We'll be live in Chester for the first day of non-essential shops reopening.
Maths zeroes in on perfect cup of coffee,Mathematicians are a step closer to understanding what makes a perfect cup of coffee.
"CEO Secrets: Think outside the bubble, says coffee chief",The boss of Union Hand-roasted Coffee gives his tip for start-ups.
What makes your perfect cup of coffee?,The BBC's Bryony Hopkins asked Londoners for their idea of the perfect cup of coffee.
Manchester launches paper coffee cup recycling campaign,A dedicated coffee cup recycling project launches in Manchester city centre.
Cambridge police cell detainee donates scratchcard win for 'better coffee' in cells,A suspect-turned-critic who spent the night in a police cell won the money on two scratchcards.
Waitrose coffee change gives grounds for complaint,Waitrose loyalty scheme members will have to buy something before they can claim a free coffee.
Costa coffee owner Whitbread wary over prospects,"The owner of the coffee chain and Premier Inn hotels predicts a ""tougher consumer environment"" this year."
Study finds gene 'that could curb coffee consumption',Researchers have identified a gene that appears to curb coffee consumption.
How do you turn used coffee grounds into clothes?,The man behind the Taiwanese firm that turns old coffee into cash.
Four Thought: Coffee with an Imam,"Sabah Ahmedi, one of Britain's youngest imams, is on a mission to overcome Islamophobia."
Natalie Bennett angry as GWR refuse coffee in reusable cup,"Green Party leader Natalie Bennett criticises the ""pointless waste"" created by a rail firm which refused to serve her coffee in a reusable cup."
Man admits Westerham Costa coffee death crash,"An 87-year-old man admits causing death by dangerous driving after his car ploughed into a coffee shop, killing a woman."
Glasgow coffee supplier Matthew Algie sold to Tchibo,"Matthew Algie, the Glasgow-based coffee supplier, is sold to Tchibo, its giant German rival, for an undisclosed sum."
'Hipster coffee' gets Australia hot and frothing,"Is it a coffee separated into its component parts, or a harbinger of humanityâs last days?"
Viewpoint: The waste mountain of coffee cups,Every day hundreds of thousands of Britons put their coffee cup into a recycling bin. They're wrong - those cups aren't recyclable.
"Coffee shops on the march as pubs decline, town centre data shows","The great British pub continues to make way for coffee shops and eateries on our High Streets, but it remains the most popular leisure venue in the UK."
Why your coffee could cost more,UK inflation rose to 1% in September. Andy Verity explains why the fall in the pound could lead to further inflation and why you could end up paying more for your coffee.
Why your coffee could cost more,UK inflation rose to 1% in September. Andy Verity explains why the fall in the pound could lead to further inflation and why you could end up paying more for your coffee.
Indonesia 'coffee killer' trial: Jessica Wongso found guilty of murder,A woman accused of murdering her friend in Indonesia by putting cyanide in her coffee is jailed for 20 years.
'Russiano' coffee joke sparks online humour,"Americano coffee ""not politically correct"", Russian prime minister jokes."
Cancer risk from coffee downgraded,"The cancer risk of coffee has been downgraded, with experts concluding there is inadequate evidence to suggest it causes the disease."
Is there a serious problem with coffee capsules?,The German city of Hamburg has banned coffee pods from state-run buildings as part of an environmental drive to reduce waste. Should others follow suit?
"Queen portrait created out of 1,600 used coffee pods","A portrait of The Queen has been created out of recycled coffee pods, to mark her 90th birthday."
Costa Coffee helps boost Whitbread profits,"Whitbread reports a 12% rise in annual profits, helped by a strong performance from its Costa Coffee chain."
MSPs call for better quality coffee at Holyrood committee meetings,Holyrood hears a plea from MSPs for better coffee to be served to them during committee meetings.
Your pictures: Coffee break,Readers' photographs on the theme of coffee break.
Coffee - a Hellish Brew: Slurping Coffee for a Living,The work of a coffee taster and roast master
MSP Mary Scanlon makes plea for 'decent coffee' at Holyrood,An MSP in the Scottish Parliament has been playfully rebuked after asking if MSPs can be served nicer coffee during a discussion on food waste.
"Westerham Costa Coffee death crash: Man, 86, to face charges",An 86-year-old man accused of killing a woman who died when a car ploughed into a coffee shop is summoned to appear in court.
Westerham Costa coffee death crash: David Lord charged,An 86-year-old man accused of killing a woman who died when his car ploughed into a Kent coffee shop makes his first appearance in court.
Discovery: The coffee trade,"Report on coffee, its trade, health implications and history"
"Green entrepreneurs: Coffee for your face, bees for your booze",Sir David Attenborough and Prince William want people to come up with ideas to help the environment.
The Farming World: Coffee Fungus Spreads into Uguanda,Fungal disease is threatening the Ugandan coffee crop
Entrepreneur milks new coffee trend in Ivory Coast,Cafe founder Fabienne Dervain tells the BBC why people in Ivory Coast are getting a taste for drinking coffee - rather than just exporting it.
Coffee maker Keurig sells to Douwe Egberts owner for $13.9bn,"Keurig Green Mountain, which makes K-cups single-serve coffee pods, said it has accepted a $13.9bn (Â£9.2bn) bid."
Who'd have Thought It?: Coffee,So how do we go from a little green seed to a lovely cup of coffee?
Man denies Westerham Costa coffee death crash,An 87-year-old man pleads not guilty to killing a woman who died when his car ploughed into a coffee shop.
Spice Taxi: Eritrea Coffee,"The significance of making coffee in Eritrea - coffee bars, capuccinos and macchiatos"
Fancy a cuppa coffee? Lisburn company plans to brew success,"Take a coffee plant and some volcanic soil, keep indoors for a while and despite the cold, you could have Northern Ireland-grown coffee."
Llandudno woman was crushed by mobile coffee shop van,"The exact circumstances leading to Tracy Evans's death are unclear, an inquest finds."
Coffee - a Hellish Brew: Coffee Growing and Production,The social and economic importance of coffee production
The Farming World: How can Coffee Growers make a Profit?,It's hard to make a profit when coffee changes hands up to 150 times between farm and cup
